,stemMin,stemMax,numberOfStemPeers,stemReductionMin,stemReductionMax,hops_mean,hops_median,hops_stdd,hops_min,hops_max,starting_stem_mean,starting_stem_median,starting_stem_stdd,starting_stem_min,starting_stem_max
155,1,3,2,0.9999999999999999,2.1,1.4014,1.0,0.5260019391599237,1,3,2.0042,2.0,0.8201111875837324,1,3
156,1,3,2,0.9999999999999999,2.2,1.3518,1.0,0.5030275936765297,1,3,1.9784,2.0,0.8178835124881783,1,3
157,1,3,2,0.9999999999999999,2.3,1.3236,1.0,0.48814243822884323,1,3,1.9963,2.0,0.8176101210234619,1,3
158,1,3,2,0.9999999999999999,2.4,1.2984,1.0,0.475139390074113,1,3,2.0053,2.0,0.8196779306532536,1,3
159,1,3,2,0.9999999999999999,2.5,1.2778,1.0,0.4692836668796391,1,3,2.0076,2.0,0.8150719232067806,1,3
160,1,3,2,1.0999999999999999,1.0999999999999999,1.8155,2.0,0.7638453704775594,1,3,1.9934,2.0,0.8172860209253551,1,3
161,1,3,2,1.0999999999999999,1.2,1.7064,2.0,0.7106328447236309,1,3,2.0019,2.0,0.8150437963692504,1,3
162,1,3,2,1.0999999999999999,1.2999999999999998,1.6154,2.0,0.663538122491843,1,3,1.9824,2.0,0.8179793640428834,1,3
163,1,3,2,1.0999999999999999,1.4,1.5713,1.0,0.6416512370439257,1,3,1.9916,2.0,0.8187364899648726,1,3
164,1,3,2,1.0999999999999999,1.5,1.527,1.0,0.6058638460908523,1,3,1.9955,2.0,0.8145426630938369,1,3
165,1,3,2,1.0999999999999999,1.5999999999999999,1.4991,1.0,0.5777535720356908,1,3,2.0043,2.0,0.8122077997655526,1,3
166,1,3,2,1.0999999999999999,1.7,1.4621,1.0,0.5538624287672888,1,3,1.9955,2.0,0.8070190518197201,1,3
167,1,3,2,1.0999999999999999,1.7999999999999998,1.4549,1.0,0.5445787270909505,1,3,2.0127,2.0,0.8164182200318658,1,3
168,1,3,2,1.0999999999999999,1.9,1.4412,1.0,0.5352967027733311,1,3,2.0059,2.0,0.8169854282666246,1,3
169,1,3,2,1.0999999999999999,2.0,1.4262,1.0,0.5270233011926512,1,3,2.0039,2.0,0.8163851970730484,1,3
170,1,3,2,1.0999999999999999,2.0999999999999996,1.3817,1.0,0.5091219009235411,1,3,1.9997,2.0,0.8172514362177653,1,3
171,1,3,2,1.0999999999999999,2.2,1.3514,1.0,0.5017150984373502,1,3,2.0064,2.0,0.8152049067565773,1,3
172,1,3,2,1.0999999999999999,2.3,1.3177,1.0,0.4857640476610017,1,3,2.0053,2.0,0.8187013558068656,1,3
173,1,3,2,1.0999999999999999,2.4,1.2785,1.0,0.46790784349057457,1,3,1.991,2.0,0.8153030111559751,1,3
174,1,3,2,1.0999999999999999,2.5,1.2677,1.0,0.45632960675371487,1,3,2.0102,2.0,0.8166369817734194,1,3
175,1,3,2,1.0999999999999999,2.5999999999999996,1.2446,1.0,0.4460614755838034,1,3,2.0021,2.0,0.8159017036383733,1,3
176,1,3,2,1.2,1.2,1.6865,2.0,0.6984395106235041,1,3,2.0072,2.0,0.8117562195634844,1,3
177,1,3,2,1.2,1.3,1.5966,2.0,0.6487437398541893,1,3,2.0027,2.0,0.8199345766584063,1,3
178,1,3,2,1.2,1.4,1.5501,1.0,0.6179724832061699,1,3,1.9976,2.0,0.8169420052855649,1,3
179,1,3,2,1.2,1.5,1.5097,1.0,0.5911902485663985,1,3,1.997,2.0,0.8168176050992045,1,3
180,1,3,2,1.2,1.6,1.4819,1.0,0.5630918131175412,1,3,2.0078,2.0,0.8122432886764901,1,3
181,1,3,2,1.2,1.7,1.4512,1.0,0.5521037583643132,1,3,1.9978,2.0,0.8164527910418337,1,3
182,1,3,2,1.2,1.8,1.446,1.0,0.5367345712733623,1,3,2.0157,2.0,0.8179569120681115,1,3
183,1,3,2,1.2,1.9,1.4239,1.0,0.527265388585293,1,3,1.9969,2.0,0.816021072031844,1,3
184,1,3,2,1.2,2.0,1.4156,1.0,0.5132997564776356,1,3,2.0029,2.0,0.8167567508138517,1,3
185,1,3,2,1.2,2.1,1.3636,1.0,0.503383591309848,1,3,1.9986,2.0,0.8157193389886009,1,3
186,1,3,2,1.2,2.2,1.3442,1.0,0.4965142092629374,1,3,2.0055,2.0,0.8224778112508567,1,3
187,1,3,2,1.2,2.3,1.2956,1.0,0.4701283229076929,1,3,1.9936,2.0,0.8207064274148216,1,3
188,1,3,2,1.2,2.4000000000000004,1.2631,1.0,0.4526349412053825,1,3,1.9884,2.0,0.8158832269387575,1,3
